Software,Version,Container
amrfinderplus,3.11.11,https://depot.galaxyproject.org/singularity/ncbi-amrfinderplus:3.11.11--h6e70893_0
bracken,2.8,https://depot.galaxyproject.org/singularity/bracken:2.8--py39hc16433a_0
bwa,0.7.17-r1188,https://depot.galaxyproject.org/singularity/bwakit:0.7.17.dev1--hdfd78af_1
chewbbaca,3.4.0,https://depot.galaxyproject.org/singularity/chewbbaca:3.4.0--pyhdfd78af_0
fastqc,0.12.1,https://depot.galaxyproject.org/singularity/fastqc:0.12.1--hdfd78af_0
flye,2.9.3,https://depot.galaxyproject.org/singularity/flye:2.9.3--py39hd65a603_0
freebayes,1.3.6,https://depot.galaxyproject.org/singularity/freebayes:1.3.6--hbfe0e7f_2
hostile,2.0.0,https://depot.galaxyproject.org/singularity/hostile:2.0.0--pyhdfd78af_0
kraken2,2.1.2,https://depot.galaxyproject.org/singularity/kraken2:2.1.2--pl5321h9f5acd7_3
minimiap2,2.28,https://depot.galaxyproject.org/singularity/minimap2:2.28--h577a1d6_4
medaka,2.0.1,https://depot.galaxyproject.org/singularity/medaka:2.0.1--py39hf77f13f_0
mlst,2.23.0,https://depot.galaxyproject.org/singularity/mlst:2.23.0--hdfd78af_1
nanoplot,1.43.0,https://depot.galaxyproject.org/singularity/nanoplot:1.43.0--pyhdfd78af_1
pointfinder_db,4.0.0,https://depot.galaxyproject.org/singularity/resfinder:4.4.2--pyhdfd78af_1
prp,0.11.4,docker://clinicalgenomicslund/bonsai-prp:0.11.4
quast,5.2.0,https://depot.galaxyproject.org/singularity/quast:5.2.0--py310pl5321hc8f18ef_2
resfinder,4.4.2,https://depot.galaxyproject.org/singularity/resfinder:4.4.2--pyhdfd78af_1
resfinder_db,2.1.1,https://depot.galaxyproject.org/singularity/resfinder:4.4.2--pyhdfd78af_1
samtools,1.17,https://depot.galaxyproject.org/singularity/samtools:1.17--h00cdaf9_0
seqtk,1.4,https://depot.galaxyproject.org/singularity/seqtk:1.4--he4a0461_2
serotypefinder,2.0.2,https://depot.galaxyproject.org/singularity/serotypefinder:2.0.2--py312hdfd78af_1
serotypefinder_db,ada62c62a7fa74032448bb2273d1f7045c59fdda,https://depot.galaxyproject.org/singularity/serotypefinder:2.0.2--py312hdfd78af_1
shigapass,1.5.0,https://depot.galaxyproject.org/singularity/shigapass:1.5.0--hdfd78af_0
ska2,0.3.10,https://depot.galaxyproject.org/singularity/ska2:0.3.10--h4349ce8_0
skesa,2.5.1,https://depot.galaxyproject.org/singularity/skesa:2.5.1--hdcf5f25_0
sourmash,4.8.2,https://depot.galaxyproject.org/singularity/sourmash:4.8.2--hdfd78af_0
spades,3.15.5,https://depot.galaxyproject.org/singularity/spades:3.15.5--h95f258a_1
virulencefinder,2.0.4,https://depot.galaxyproject.org/singularity/virulencefinder:2.0.4--hdfd78af_1
virulencefinder_db,041b8b30ede055f92cbd8eaf3679ca7554857514,https://depot.galaxyproject.org/singularity/virulencefinder:2.0.4--hdfd78af_1
